Codigo_do_alimento; Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Colesterol_(mg);AG_Saturados_(g);AG_Mono _(g);AG_Poli_(g);AG_Linoleico_(g);AG_Linolenico_(g);AG_Trans_total_(g);Acucar_total_(g);Acucar_de_adicao_(g)
6401201;Cenoura;Hortalicas tuberosas;12;Ao vinagrete;0;0.03;0.01;0.09;0.09;0;0;3.46;0
6401201;Cenoura;Hortalicas tuberosas;13;Ensopado;0;0.46;0.7;1.82;1.61;0.2;0;3.36;0
6401201;Cenoura;Hortalicas tuberosas;15;Sopa;0;0.04;0.03;0.03;0.03;0.01;0;3.28;2.52
6401201;Cenoura;Hortalicas tuberosas;99;Nao se aplica;0;0.04;0.01;0.12;0.12;0;0;4.73;0
6401301;Nabo;Hortalicas tuberosas;2;Cozido(a);0;0.01;0.01;0.04;0.01;0.03;0;1.89;0
6401301;Nabo;Hortalicas tuberosas;7;Refogado(a);0;0.46;0.67;1.72;1.49;0.23;0.02;1.89;0
6401601;Acafrao;Hortalicas tuberosas;1;Cru(a);0;1.59;0.43;2.07;0.75;1.24;0;0;0
6401801;Batatainglesa organica;Hortalicas tuberosas;5;Frito(a);0;2.15;3.07;7.85;6.92;0.93;0.07;1.44;0
6500101;Creme de arroz;Farinhas. feculas e massas;99;Nao se aplica;9.63;1.84;0.83;0.23;0.15;0.08;0.11;17.4;12.33
6500104;Arrozina;Farinhas. feculas e massas;99;Nao se aplica;9.63;1.84;0.83;0.23;0.15;0.08;0.11;17.4;12.33
6500105;Mucilon;Farinhas. feculas e massas;99;Nao se aplica;6.02;1.35;0.89;0.56;0.5;0.06;0.23;7.2;2.08
6500108;Mingau de arroz;Farinhas. feculas e massas;99;Nao se aplica;9.63;1.84;0.83;0.23;0.15;0.08;0.11;17.4;12.33
6500202;Croquinhos de arroz;Farinhas. feculas e massas;99;Nao se aplica;0;0.7;1.1;2.56;2.5;0.06;0;0.86;0
6500301;Farinha de aveia;Farinhas. feculas e massas;99;Nao se aplica;0;1.11;1.98;2.3;2.2;0.1;0;1.57;0
6500401;Aveia em flocos;Farinhas. feculas e massas;99;Nao se aplica;0;1.11;1.98;2.3;2.2;0.1;0;1.57;0
6500601;Fuba de milho;Farinhas. feculas e massas;99;Nao se aplica;0;0.03;0.05;0.08;0.08;0;0;0.52;0
6500603;Farinha de milho;Farinhas. feculas e massas;99;Nao se aplica;0;0.4;0.4;0.6;0.63;0.02;0;0;0
6500608;Puba de milho;Farinhas. feculas e massas;99;Nao se aplica;82;4.5;3.9;1.5;1.34;0.08;1.99;8.27;5.68
6500609;Puba de fuba;Farinhas. feculas e massas;99;Nao se aplica;82;4.5;3.9;1.5;1.34;0.08;1.99;8.27;5.68
6500613;Milho moido;Farinhas. feculas e massas;2;Cozido(a);0;1.12;1.72;4.01;3.59;0.42;0.03;3.16;0
6500614;Mingau de milho;Farinhas. feculas e massas;99;Nao se aplica;6.02;1.35;0.89;0.56;0.5;0.06;0.23;7.2;2.08
6500702;Amido de milho;Farinhas. feculas e massas;99;Nao se aplica;6.02;1.35;0.89;0.56;0.5;0.06;0.23;7.2;2.08
6500705;Amido de arroz;Farinhas. feculas e massas;99;Nao se aplica;9.63;1.84;0.83;0.23;0.15;0.08;0.11;17.4;12.33
6500801;Cremogema;Farinhas. feculas e massas;99;Nao se aplica;6.02;1.35;0.89;0.56;0.5;0.06;0.23;7.2;2.08
6500802;Vitamilho;Farinhas. feculas e massas;99;Nao se aplica;0;0.04;0.03;0.09;0.08;0;0;0.72;0
6500804;Creme de milho;Farinhas. feculas e massas;99;Nao se aplica;6.02;1.35;0.89;0.56;0.5;0.06;0.23;7.2;2.08
6500902;Sucrilhos de milho;Farinhas. feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;38.02;38.67
6500903;Cereal matinal de milho em flocos;Farinhas. feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;38.02;38.67
6501301;Germe de trigo;Farinhas. feculas e massas;99;Nao se aplica;0;1.67;1.37;6.01;5.29;0.72;0;8.7;0
6501303;Fibra de trigo;Farinhas. feculas e massas;99;Nao se aplica;0;0.63;0.64;2.21;2.04;0.17;0;1.6;0
6501304;Fibra de cereal trigo;Farinhas. feculas e massas;99;Nao se aplica;0;0.63;0.64;2.21;2.04;0.17;0;1.6;0
6501401;Farinha de mandioca;Farinhas. feculas e massas;99;Nao se aplica;0;0.1;0.1;0;0.03;0.01;0.1;0;0
6501410;Farinha de copioba;Farinhas. feculas e massas;99;Nao se aplica;0;0.1;0.1;0;0.03;0.01;0.1;0;0
6501415;Farinha d_agua;Farinhas. feculas e massas;99;Nao se aplica;0;0.1;0.1;0;0.03;0.01;0.1;0;0
6501416;Cruera;Farinhas. feculas e massas;99;Nao se aplica;0;0.1;0.1;0;0.03;0.01;0.1;0;0
6501502;Goma de mandioca;Farinhas. feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6501505;Sagu de mandioca;Farinhas. feculas e massas;99;Nao se aplica;63.11;1.99;1.21;0.35;0.25;0.07;0.1;13.2;8.6
6501510;Farinha de tapioca;Farinhas. feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6501511;Farinha beiju;Farinhas. feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6501515;Sagu de tapioca;Farinhas. feculas e massas;99;Nao se aplica;63.11;1.99;1.21;0.35;0.25;0.07;0.1;13.2;8.6
6501516;Tapioca de goma;Farinhas. feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6502001;Farinha lactea;Farinhas. feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6502101;Neston;Farinhas. feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6502102;Flocos de cereais;Farinhas. feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6502105;Vitaflocos;Farinhas. feculas e massas;99;Nao se aplica;6.02;1.35;0.89;0.56;0.5;0.06;0.23;7.2;2.08
6502403;Mini pizza semipronta;Farinhas. feculas e massas;1;Cru(a);11.05;3.28;2.11;2.33;2.04;0.29;0.1;1.73;0.58
6502403;Mini pizza semipronta;Farinhas. feculas e massas;2;Cozido(a);11.05;3.28;2.11;2.33;2.04;0.29;0.1;1.73;0.58
6502403;Mini pizza semipronta;Farinhas. feculas e massas;4;Assado(a);11.05;3.28;2.11;2.33;2.04;0.29;0.1;1.73;0.58
6502403;Mini pizza semipronta;Farinhas. feculas e massas;5;Frito(a);11.05;3.28;2.11;2.33;2.04;0.29;0.1;1.73;0.58
6502403;Mini pizza semipronta;Farinhas. feculas e massas;99;Nao se aplica;11.05;3.28;2.11;2.33;2.04;0.29;0.1;1.73;0.58
6502501;Fibra de soja;Farinhas. feculas e massas;99;Nao se aplica;0;0.29;0.44;1.13;1;0.13;0;0.21;0
6502603;Minipastel;Farinhas. feculas e massas;99;Nao se aplica;61.19;3.16;4.24;7.28;6.41;0.81;0.07;0.36;0
6503401;Macarrao ;Farinhas. feculas e massas;1;Cru(a);0;0.18;0.13;0.32;0.3;0.02;0;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;2;Cozido(a);0;0.18;0.13;0.32;0.3;0.02;0;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;3;Grelhado(a)/brasa/churrasco;0;0.18;0.13;0.32;0.3;0.02;0;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;4;Assado(a);0;0.18;0.13;0.32;0.3;0.02;0;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;5;Frito(a);0;0.68;0.87;2.19;1.95;0.24;0.02;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;6;Empanado(a)/a milanesa;0;0.68;0.87;2.19;1.95;0.24;0.02;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;7;Refogado(a);0;0.68;0.87;2.19;1.95;0.24;0.02;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;8;Molho vermelho;3.64;0.97;0.43;0.25;0.22;0.02;0.06;1.94;0
6503401;Macarrao ;Farinhas. feculas e massas;9;Molho branco;6.83;1.67;0.74;0.37;0.33;0.04;0.1;1.48;0
6503401;Macarrao ;Farinhas. feculas e massas;10;Ao alho e oleo;0;0.68;0.87;2.19;1.95;0.24;0.02;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;11;Com manteiga/oleo;7.26;1.91;0.84;0.42;0.39;0.04;0.11;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;12;Ao vinagrete;0;0.18;0.13;0.32;0.3;0.02;0;0.56;0
6503401;Macarrao ;Farinhas. feculas e massas;13;Ensopado;0;0.68;0.87;2.19;1.95;0.24;0.02;0.56;0
