Codigo_do_alimento ;Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Calcio_(mg);Magnesio _(mg);Manganes _(mg);Fosforo_(mg);Ferro _(mg);Sodio_(mg);Sodio _de _adicao _(mg);Potassio_(mg);Cobre _(mg);Zinco_(mg);Selenio_(mcg)
6400501;Inhame;Hortalicas tuberosas;15;Sopa;8.56;6.35;0.07;15.76;0.29;310.43;0;88.32;0.04;0.12;1.34
6400508;Quicare;Hortalicas tuberosas;99;Nao se aplica;35;21;0.67;44;0.54;8;260;377;0.18;0.3;0.6
6400601;Mandioca;Hortalicas tuberosas;1;Cru(a);19;27;0.06;22;0.1;1;286;100;0.01;0.2;0
6400601;Mandioca;Hortalicas tuberosas;2;Cozido(a);19;27;0.06;22;0.1;1;286;100;0.01;0.2;0
6400601;Mandioca;Hortalicas tuberosas;4;Assado(a);19;27;0.06;22;0.1;1;286;100;0.01;0.2;0
6400601;Mandioca;Hortalicas tuberosas;5;Frito(a);18.05;25.65;0.06;20.9;0.1;0.95;286;95;0.01;0.19;2.28
6400601;Mandioca;Hortalicas tuberosas;7;Refogado(a);18.05;25.65;0.06;20.9;0.1;0.95;286;95;0.01;0.19;2.28
6400601;Mandioca;Hortalicas tuberosas;8;Molho vermelho;17.8;24.8;0.07;22.8;0.28;105.6;228.8;146.2;0.03;0.2;0.04
6400601;Mandioca;Hortalicas tuberosas;11;Com manteiga/oleo;19.25;25.75;0.06;22.1;0.1;29.75;286;96.2;0.01;0.19;0.05
6400601;Mandioca;Hortalicas tuberosas;13;Ensopado;18.05;25.65;0.06;20.9;0.1;0.95;286;95;0.01;0.19;2.28
6400601;Mandioca;Hortalicas tuberosas;15;Sopa;8.56;6.35;0.07;15.76;0.29;310.43;0;88.32;0.04;0.12;1.34
6400601;Mandioca;Hortalicas tuberosas;99;Nao se aplica;19;27;0.06;22;0.1;1;286;100;0.01;0.2;0
6400609;Aipim;Hortalicas tuberosas;2;Cozido(a);19;27;0.06;22;0.1;1;286;100;0.01;0.2;0
6400609;Aipim;Hortalicas tuberosas;4;Assado(a);19;27;0.06;22;0.1;1;286;100;0.01;0.2;0
6400609;Aipim;Hortalicas tuberosas;5;Frito(a);18.05;25.65;0.06;20.9;0.1;0.95;286;95;0.01;0.19;2.28
6400609;Aipim;Hortalicas tuberosas;6;Empanado(a)/a milanesa;18.05;25.65;0.06;20.9;0.1;0.95;286;95;0.01;0.19;2.28
6400609;Aipim;Hortalicas tuberosas;7;Refogado(a);18.05;25.65;0.06;20.9;0.1;0.95;286;95;0.01;0.19;2.28
6400609;Aipim;Hortalicas tuberosas;8;Molho vermelho;17.8;24.8;0.07;22.8;0.28;105.6;228.8;146.2;0.03;0.2;0.04
6400609;Aipim;Hortalicas tuberosas;11;Com manteiga/oleo;19.25;25.75;0.06;22.1;0.1;29.75;286;96.2;0.01;0.19;0.05
6400609;Aipim;Hortalicas tuberosas;13;Ensopado;18.05;25.65;0.06;20.9;0.1;0.95;286;95;0.01;0.19;2.28
6400609;Aipim;Hortalicas tuberosas;15;Sopa;8.56;6.35;0.07;15.76;0.29;310.43;0;88.32;0.04;0.12;1.34
6400609;Aipim;Hortalicas tuberosas;99;Nao se aplica;19;27;0.06;22;0.1;1;286;100;0.01;0.2;0
6400610;Macaxeira;Hortalicas tuberosas;1;Cru(a);19;27;0.06;22;0.1;1;286;100;0.01;0.2;0
6400610;Macaxeira;Hortalicas tuberosas;2;Cozido(a);19;27;0.06;22;0.1;1;286;100;0.01;0.2;0
6400610;Macaxeira;Hortalicas tuberosas;4;Assado(a);19;27;0.06;22;0.1;1;286;100;0.01;0.2;0
6400610;Macaxeira;Hortalicas tuberosas;5;Frito(a);18.05;25.65;0.06;20.9;0.1;0.95;286;95;0.01;0.19;2.28
6400701;Cara;Hortalicas tuberosas;2;Cozido(a);35;21;0.67;44;0.54;8;260;377;0.18;0.3;0.6
6400701;Cara;Hortalicas tuberosas;5;Frito(a);35;21;0.67;44;0.54;8;260;377;0.18;0.3;1.42
6400701;Cara;Hortalicas tuberosas;7;Refogado(a);35;21;0.67;44;0.54;8;260;377;0.18;0.3;1.42
6400701;Cara;Hortalicas tuberosas;13;Ensopado;35;21;0.67;44;0.54;8;260;377;0.18;0.3;1.42
6400701;Cara;Hortalicas tuberosas;14;Mingau;35;21;0.67;44;0.54;8;260;377;0.18;0.3;0.6
