Codigo_do_alimento;Descricao_do_alimento;Tipo;Codigo_da_preparacao;Descricao_da_preparacao; Energia_(kcal) ;Proteina_(g); Lipidios_totais_(g) ; Carboidrato_(g) ; Fibra_alimentar_total_(g) 
7100606;Tatu (lagarto redondo);Carnes e visceras;99;Nao se aplica;199,00;36,12;5,00;    ;    
7100607;Paulista;Carnes e visceras;2;Cozido(a);199,00;36,12;5,00;    ;    
7100607;Paulista;Carnes e visceras;4;Assado(a);199,00;36,12;5,00;    ;    
7100608;Lombo paulista (carne bovina);Carnes e visceras;2;Cozido(a);199,00;36,12;5,00;    ;    
7100608;Lombo paulista (carne bovina);Carnes e visceras;4;Assado(a);199,00;36,12;5,00;    ;    
7100608;Lombo paulista (carne bovina);Carnes e visceras;5;Frito(a);248,57;36,12;10,61;    ;    
7100608;Lombo paulista (carne bovina);Carnes e visceras;13;Ensopado;248,57;36,12;10,61;    ;    
7100702;Posta vermelha;Carnes e visceras;2;Cozido(a);199,00;36,12;5,00;    ;    
7100801;Acem;Carnes e visceras;2;Cozido(a);242,00;24,22;15,42;    ;    
7100801;Acem;Carnes e visceras;4;Assado(a);242,00;24,22;15,42;    ;    
7100801;Acem;Carnes e visceras;5;Frito(a);264,66;24,22;17,98;    ;    
7100801;Acem;Carnes e visceras;6;Empanado(a)/à milanesa;280,84;24,68;18,03;3,39;0,14
7100801;Acem;Carnes e visceras;7;Refogado(a);264,66;24,22;17,98;    ;    
7100801;Acem;Carnes e visceras;13;Ensopado;264,66;24,22;17,98;    ;    
7100803;Agulha (acem);Carnes e visceras;2;Cozido(a);242,00;24,22;15,42;    ;    
7100803;Agulha (acem);Carnes e visceras;4;Assado(a);242,00;24,22;15,42;    ;    
7100803;Agulha (acem);Carnes e visceras;5;Frito(a);264,66;24,22;17,98;    ;    
7100905;Paleta ;Carnes e visceras;2;Cozido(a);242,00;24,22;15,42;    ;    
7100905;Paleta ;Carnes e visceras;5;Frito(a);264,66;24,22;17,98;    ;    
7100905;Paleta ;Carnes e visceras;8;Molho vermelho;198,40;19,64;12,37;1,08;0,30
