Codigo_do_alimento ;Descricao_do_alimento ;Tipo;Codigo _da_preparacao;Descricao_da_preparacao;Retinol_(mcg);Vitamina_A_ERA_(mcg);Tiamina_(mg);Riboflavina_(mg);Niacina_(mg);Niacina_(NE)_(mg);Piridoxina_(mg);Cobalamina_(mcg);Folato_(DFE)_(mcg);Vitamina_D_(mcg);Vitamina_E_(mg);Vitamina_C_(mg)
6400701;Cara;Hortalicas tuberosas;7;Refogado(a);0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.93;9.1
6400701;Cara;Hortalicas tuberosas;13;Ensopado;0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.93;9.1
6400701;Cara;Hortalicas tuberosas;14;Mingau;0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.77;9.1
6400701;Cara;Hortalicas tuberosas;15;Sopa;0;33.48;0.03;0.03;0.51;0.67;0.04;0.02;9.28;0;0.2;2.1
6400713;Inhame caraquento (cara);Hortalicas tuberosas;2;Cozido(a);0;1043.46;0.07;0.06;0.56;0.91;0.19;0;22;0;0.77;9.1
6400802;Batata (nao especificada);Hortalicas tuberosas;1;Cru(a);0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.06;7.4
6400802;Batata (nao especificada);Hortalicas tuberosas;2;Cozido(a);0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.06;7.4
6400802;Batata (nao especificada);Hortalicas tuberosas;3;Grelhado(a)/brasa/churrasco;0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.06;7.4
6400802;Batata (nao especificada);Hortalicas tuberosas;4;Assado(a);0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.06;7.4
6400802;Batata (nao especificada);Hortalicas tuberosas;5;Frito(a);0;0.28;0.17;0.03;2.2;2.96;0.45;0;15.11;0;1.2;12.43
6400802;Batata (nao especificada);Hortalicas tuberosas;7;Refogado(a);0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.3;7.4
6400802;Batata (nao especificada);Hortalicas tuberosas;8;Molho vermelho;0;3.62;0.08;0.03;1.25;1.64;0.24;0;9.4;0;0.33;7.32
6400802;Batata (nao especificada);Hortalicas tuberosas;9;Molho branco;20.7;21.21;0.1;0.06;1.15;1.78;0.22;0.09;10.8;0.23;0.11;5.92
6400802;Batata (nao especificada);Hortalicas tuberosas;12;Ao vinagrete;0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.3;7.4
6400802;Batata (nao especificada);Hortalicas tuberosas;13;Ensopado;0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.3;7.4
6400802;Batata (nao especificada);Hortalicas tuberosas;15;Sopa;0;33.48;0.03;0.03;0.51;0.67;0.04;0.02;9.28;0;0.2;2.1
6400802;Batata (nao especificada);Hortalicas tuberosas;99;Nao se aplica;0;0.17;0.1;0.02;1.31;1.76;0.27;0;9;0;0.06;7.4
6400908;Mandioquinha;Hortalicas tuberosas;2;Cozido(a);0;787;0.06;0.05;0.54;1;0.17;0;6;0;0.94;12.8
6400908;Mandioquinha;Hortalicas tuberosas;5;Frito(a);0;747.65;0.05;0.04;0.51;0.95;0.16;0;5.7;0;1.35;12.16
6400908;Mandioquinha;Hortalicas tuberosas;7;Refogado(a);0;787;0.06;0.05;0.54;1;0.17;0;6;0;1.1;12.8
6400908;Mandioquinha;Hortalicas tuberosas;13;Ensopado;0;787;0.06;0.05;0.54;1;0.17;0;6;0;1.1;12.8
6401001;Rabanete;Hortalicas tuberosas;1;Cru(a);0;0.33;0.01;0.04;0.25;0.4;0.07;0;25;0;0;14.8
6401001;Rabanete;Hortalicas tuberosas;2;Cozido(a);0;0;0.02;0.02;0.2;0.25;0.05;0;28;0;0;22
6401001;Rabanete;Hortalicas tuberosas;12;Ao vinagrete;0;0;0.02;0.02;0.2;0.25;0.05;0;28;0;0;22
6401101;Beterraba;Hortalicas tuberosas;1;Cru(a);0;1.67;0.03;0.04;0.33;0.65;0.07;0;109;0;0.04;4.9
6401101;Beterraba;Hortalicas tuberosas;2;Cozido(a);0;1.75;0.03;0.04;0.33;0.66;0.07;0;80;0;0.04;3.6
6401101;Beterraba;Hortalicas tuberosas;7;Refogado(a);0;1.75;0.03;0.04;0.33;0.66;0.07;0;80;0;0.29;3.6
6401101;Beterraba;Hortalicas tuberosas;12;Ao vinagrete;0;1.75;0.03;0.04;0.33;0.66;0.07;0;80;0;0.04;3.6
6401101;Beterraba;Hortalicas tuberosas;15;Sopa;0;33.48;0.03;0.03;0.51;0.67;0.04;0.02;9.28;0;0.2;2.1
6401101;Beterraba;Hortalicas tuberosas;99;Nao se aplica;0;1.67;0.03;0.04;0.33;0.65;0.07;0;109;0;0.04;4.9
6401201;Cenoura;Hortalicas tuberosas;1;Cru(a);0;840.5;0.07;0.06;0.98;1.18;0.14;0;19;0;0.86;5.9
6401201;Cenoura;Hortalicas tuberosas;2;Cozido(a);0;860.08;0.07;0.04;0.65;0.81;0.15;0;14;0;1.03;3.6
6401201;Cenoura;Hortalicas tuberosas;5;Frito(a);0;834.28;0.06;0.04;0.63;0.79;0.15;0;13.58;0;1.28;3.49
6401201;Cenoura;Hortalicas tuberosas;7;Refogado(a);0;834.28;0.06;0.04;0.63;0.79;0.15;0;13.58;0;1.28;3.49
6401201;Cenoura;Hortalicas tuberosas;8;Molho vermelho;0;691.55;0.06;0.05;0.71;0.88;0.14;0;13.4;0;1.11;4.28
6401201;Cenoura;Hortalicas tuberosas;10;Ao alho e oleo;0;834.28;0.06;0.04;0.63;0.79;0.15;0;13.58;0;1.28;3.49
6401201;Cenoura;Hortalicas tuberosas;11;Com manteiga/oleo;20.34;880.82;0.07;0.05;0.65;0.82;0.15;0.01;14.09;0.04;1.1;3.6
6401201;Cenoura;Hortalicas tuberosas;12;Ao vinagrete;0;860.08;0.07;0.04;0.65;0.81;0.15;0;14;0;1.03;3.6
6401201;Cenoura;Hortalicas tuberosas;13;Ensopado;0;834.28;0.06;0.04;0.63;0.79;0.15;0;13.58;0;1.28;3.49
6401201;Cenoura;Hortalicas tuberosas;15;Sopa;0;33.48;0.03;0.03;0.51;0.67;0.04;0.02;9.28;0;0.2;2.1
6401201;Cenoura;Hortalicas tuberosas;99;Nao se aplica;0;840.5;0.07;0.06;0.98;1.18;0.14;0;19;0;0.86;5.9
6401301;Nabo;Hortalicas tuberosas;2;Cozido(a);0;0;0.03;0.02;0.3;0.42;0.07;0;9;0;0.02;11.6
6401301;Nabo;Hortalicas tuberosas;7;Refogado(a);0;0;0.03;0.02;0.3;0.42;0.07;0;9;0;0.26;11.6
6401601;Acafrao;Hortalicas tuberosas;1;Cru(a);0;26.5;0.12;0.27;1.46;1.46;1.01;0;93;0;1.69;80.8
6401801;Batata-inglesa organica;Hortalicas tuberosas;5;Frito(a);0;0.28;0.17;0.03;2.2;2.96;0.45;0;15.11;0;1.2;12.43
6500101;Creme de arroz;Farinhas, feculas e massas;99;Nao se aplica;26.95;27.36;0.06;0.18;0.41;1.75;0.09;0.42;5.31;0.96;0.07;0.25
6500104;Arrozina;Farinhas, feculas e massas;99;Nao se aplica;26.95;27.36;0.06;0.18;0.41;1.75;0.09;0.42;5.31;0.96;0.07;0.25
6500105;Mucilon;Farinhas, feculas e massas;99;Nao se aplica;21.17;30.1;0.07;0.18;0.32;1.17;0.04;0.3;11.23;0.51;0.19;0.15
6500108;Mingau de arroz;Farinhas, feculas e massas;99;Nao se aplica;26.95;27.36;0.06;0.18;0.41;1.75;0.09;0.42;5.31;0.96;0.07;0.25
6500202;Croquinhos de arroz;Farinhas, feculas e massas;99;Nao se aplica;0;9.83;0.1;0.08;2.31;3.73;0.16;0;31;0;0.29;0
6500301;Farinha de aveia;Farinhas, feculas e massas;99;Nao se aplica;0;0;0.73;0.14;0.78;4.48;0.12;0;32;0;0.7;0
6500401;Aveia em flocos;Farinhas, feculas e massas;99;Nao se aplica;0;0;0.73;0.14;0.78;4.48;0.12;0;32;0;0.7;0
6500601;Fuba de milho;Farinhas, feculas e massas;99;Nao se aplica;0;0.02;0.1;0.06;0.81;0.98;0.02;0;39.44;0;0.02;0
6500603;Farinha de milho;Farinhas, feculas e massas;99;Nao se aplica;0;9;0.25;0;0;0;0.25;0;0;0;0;0
6500608;Puba de milho;Farinhas, feculas e massas;99;Nao se aplica;57;0;0.11;0.05;0;0;0;0;0;0;0;0
6500609;Puba de fuba;Farinhas, feculas e massas;99;Nao se aplica;57;0;0.11;0.05;0;0;0;0;0;0;0;0
6500613;Milho moido;Farinhas, feculas e massas;2;Cozido(a);0;13.17;0.22;0.07;1.61;2;0.06;0;46;0;0.57;6.2
6500614;Mingau de milho;Farinhas, feculas e massas;99;Nao se aplica;21.17;30.1;0.07;0.18;0.32;1.17;0.04;0.3;11.23;0.51;0.19;0.15
6500702;Amido de milho;Farinhas, feculas e massas;99;Nao se aplica;21.17;30.1;0.07;0.18;0.32;1.17;0.04;0.3;11.23;0.51;0.19;0.15
6500705;Amido de arroz;Farinhas, feculas e massas;99;Nao se aplica;26.95;27.36;0.06;0.18;0.41;1.75;0.09;0.42;5.31;0.96;0.07;0.25
6500801;Cremogema;Farinhas, feculas e massas;99;Nao se aplica;21.17;30.1;0.07;0.18;0.32;1.17;0.04;0.3;11.23;0.51;0.19;0.15
6500802;Vitamilho;Farinhas, feculas e massas;99;Nao se aplica;0;0.06;0.06;0.03;1.19;2.12;0.04;0;6.82;0;0.05;0
6500804;Creme de milho;Farinhas, feculas e massas;99;Nao se aplica;21.17;30.1;0.07;0.18;0.32;1.17;0.04;0.3;11.23;0.51;0.19;0.15
6500902;Sucrilhos de milho;Farinhas, feculas e massas;99;Nao se aplica;0;15;0.73;1.11;10.13;0;0.79;0;0;0;0;0
6500903;Cereal matinal de milho em flocos;Farinhas, feculas e massas;99;Nao se aplica;0;15;0.73;1.11;10.13;0;0.79;0;0;0;0;0
6501301;Germe de trigo;Farinhas, feculas e massas;99;Nao se aplica;0;5.17;1.88;0.5;6.81;12.1;1.3;0;281;0;21.81;0
6501303;Fibra de trigo;Farinhas, feculas e massas;99;Nao se aplica;0;0.5;0.52;0.58;13.58;18.28;1.3;0;79;0;1.49;0
6501304;Fibra de cereal trigo;Farinhas, feculas e massas;99;Nao se aplica;0;0.5;0.52;0.58;13.58;18.28;1.3;0;79;0;1.49;0
6501401;Farinha de mandioca;Farinhas, feculas e massas;99;Nao se aplica;0;0;0.14;0;0;0;0;0;0;0;0;0
6501410;Farinha de copioba;Farinhas, feculas e massas;99;Nao se aplica;0;0;0.14;0;0;0;0;0;0;0;0;0
6501415;Farinha d'agua;Farinhas, feculas e massas;99;Nao se aplica;0;0;0.14;0;0;0;0;0;0;0;0;0
6501416;Cruera;Farinhas, feculas e massas;99;Nao se aplica;0;0;0.14;0;0;0;0;0;0;0;0;0
6501502;Goma de mandioca;Farinhas, feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;0;0;0;0;0
6501505;Sagu de mandioca;Farinhas, feculas e massas;99;Nao se aplica;45.19;45.71;0.05;0.22;0.1;1.48;0.05;0.51;10.01;1.01;0.18;0
6501510;Farinha de tapioca;Farinhas, feculas e massas;99;Nao se aplica;0;0;0.03;0;0;0;0;0;0;0;0;0
6501511;Farinha beiju;Farinhas, feculas e massas;99;Nao se aplica;0;0;0.03;0;0;0;0;0;0;0;0;0
6501515;Sagu de tapioca;Farinhas, feculas e massas;99;Nao se aplica;45.19;45.71;0.05;0.22;0.1;1.48;0.05;0.51;10.01;1.01;0.18;0
6501516;Tapioca de goma;Farinhas, feculas e massas;99;Nao se aplica;0;0;0;0;0;0;0;0;0;0;0;0
6502001;Farinha lactea;Farinhas, feculas e massas;99;Nao se aplica;443.33;0;0.6;0.6;8;0;0.5;1.2;0;5;0;29.67
6502101;Neston;Farinhas, feculas e massas;99;Nao se aplica;0;0;1.08;1.16;14.58;0;1.16;2.17;0;4.58;9.17;40.42
6502102;Flocos de cereais;Farinhas, feculas e massas;99;Nao se aplica;0;15;0.76;1.02;11.04;0;2.25;0;0;0;0;0
6502105;Vitaflocos;Farinhas, feculas e massas;99;Nao se aplica;21.17;30.1;0.07;0.18;0.32;1.17;0.04;0.3;11.23;0.51;0.19;0.15
6502403;Mini pizza semipronta;Farinhas, feculas e massas;1;Cru(a);27.21;33.64;0.37;0.32;2.99;6;0.07;0.48;106.53;0.03;0.8;1.93
6502403;Mini pizza semipronta;Farinhas, feculas e massas;2;Cozido(a);27.21;33.64;0.37;0.32;2.99;6;0.07;0.48;106.53;0.03;0.8;1.93
6502403;Mini pizza semipronta;Farinhas, feculas e massas;4;Assado(a);27.21;33.64;0.37;0.32;2.99;6;0.07;0.48;106.53;0.03;0.8;1.93
